"District.Name","Subdistrict.Name","Facility.Name","Latitude","Longitude","newDist"
"East Khasi Hills","Shella Bholaganj Block","Shella PHC",25.19473889,91.63666667,4
"East Khasi Hills","Pynursla Block","Wahsherkhmut  PHC",25.2064,91.86111111,4
"East Khasi Hills","Shella Bholaganj Block","Sohbar PHC",25.20833611,91.74472222,4
"East Khasi Hills","Shella Bholaganj Block","Laitkynsew PHC",25.21751389,91.65333333,4
"East Khasi Hills","Shella Bholaganj Block","Mawlong PHC",25.21806111,91.69416667,4
"East Jaintia Hills","Khliehriat Block","Bataw PHC",25.22458333,92.24888889,9
"West Jaintia Hills","Amlarem Block","Pdengshakap PHC",25.23316667,92.14972222,9
"East Khasi Hills","Pynursla Block","Pongtung PHC",25.24973611,91.94944444,4
"East Khasi Hills","Pynursla Block","Mawkliaw PHC",25.25,91.81,4
"South Garo Hills","Gasuapara Block","Sibbari PHC",25.256556,90.506222,7
"South Garo Hills","Chokpot Block","Silkigre PHC",25.25761111,90.47194444,7
"East Khasi Hills","Shella Bholaganj Block","Mawsahew PHC",25.26138889,91.64527778,4
"West Jaintia Hills","Amlarem Block","Padu St Dispy",25.28361111,92.03527778,9
"South West Khasi Hills","Mawkyrwat Block","Rangthong PHC",25.29,91.26,8
"West Garo Hills","Dalu Block","Purakhasia PHC",25.29694444,90.00916667,11
"East Khasi Hills","Laitkroh Block","Khatarshnong Khrang PHC",25.31,91.77,4
"West Jaintia Hills","Amlarem Block","Jarain PHC",25.32094444,92.13333333,9
"East Khasi Hills","Laitkroh Block","Laitryngew PHC",25.32927778,91.73361111,4
"East Jaintia Hills","Saipung Block","Saipung PHC",25.33652778,92.62,9
"East Jaintia Hills","Khliehriat Block","Rymbai PHC",25.33902778,92.32833333,9
"West Garo Hills","Dalu Block","Kherapara PHC",25.34390278,90.21583333,7
"South West Khasi Hills","Mawkyrwat Block","Mawthawpdah PHC",25.35,91.29,8
"East Khasi Hills","Urban Block","Jaiaw UHC",25.35,91.52,4
"South West Garo Hills","Zikzak Block","Nogorpara PHC",25.350575,89.84972222,11
"South Garo Hills","Baghmara Block","Siju PHC",25.35335833,90.65666667,10
"West Garo Hills","Tura Urban Block","Sampalgre UHC",25.38,90.2,7
"South West Garo Hills","Zikzak Block","Zikzak PHC",25.3914,89.905,11
"East Khasi Hills","Mawkynrew Block","Jatah PHC",25.40416667,92.05194444,9
"East Jaintia Hills","Khliehriat Block","Wapung Pamra PHC",25.40913889,92.31444444,9
"East Khasi Hills","Laitkroh Block","Swer PHC",25.41,91.8,4
"South West Garo Hills","Zikzak Block","Salmanpara PHC",25.41416667,89.98777778,11
"West Khasi Hills","Mawthadraishan Block","Pariong PHC",25.42,91.44,8
"East Khasi Hills","Urban Block","Nongthymmai UHC",25.42,91.71,4
"West Khasi Hills","Nongstoin Block","Maweit PHC",25.43,91.07,8
"West Jaintia Hills","Urban Block","Chutwakhu UHC",25.43,92.19,9
"East Khasi Hills","Mawkynrew Block","Mawkynrew  PHC",25.44055556,91.99111111,3
"South West Garo Hills","Zikzak Block","Kalaichar PHC",25.44388889,89.84138889,11
"East Khasi Hills","Laitkroh Block","Laitlyngkot PHC",25.44501944,91.84194444,4
"West Khasi Hills","Mairang Block","Dongki Ingding PHC",25.45,91.4,8
"West Jaintia Hills","Urban Block","Ladthalaboh UHC",25.45,92.19,9
"South Garo Hills","Baghmara Block","Nangalbibra PHC",25.45308056,90.71361111,10
"East Khasi Hills","Mawphlang Block","Nongspung PHC",25.45619444,91.60861111,4
"East Khasi Hills","Mawkynrew Block","Jongksha PHC",25.47,91.97,3
"South West Garo Hills","Betasing Block","Mellim PHC",25.47419167,90.08861111,11
"West Jaintia Hills","Laskein Block","Shangpung PHC",25.47513889,92.35388889,9
"West Jaintia Hills","Thadlaskein Block","Khliehtyrshi PHC",25.47605556,92.17638889,9
"West Garo Hills","Tura Urban Block","Matchakolgre UHC",25.5,90.19,2
"East Khasi Hills","Mawryngkneng Block","Smit PHC",25.50391667,91.90194444,3
"East Garo Hills","Samanda Block","Samanda PHC",25.51,90.5,7
"West Jaintia Hills","Laskein Block","Iooksi PHC",25.51083333,92.58111111,9
"South West Garo Hills","Betasing Block","Betasing PHC",25.51666667,89.96055556,11
"West Jaintia Hills","Thadlaskein Block","Nangbah PHC",25.51833333,92.24555556,9
"West Khasi Hills","Mawthadraishan Block","Markasa PHC",25.52,91.44,8
"West Khasi Hills","Urban Block","Nongstoin UHC",25.52,91.26,8
"South West Garo Hills","Betasing Block","Rangsakona PHC",25.5275,90.03361111,2
