"","States_UTs","ID","Deathrate","medicalandpublichealthexp","SCs","PHCs","CHCs","SubDivHosps","DistHosps","hwdensity","docdensity","fliteracyrate","oopexp","pcinc","socialstrata","area","phc","phcareawise","Deathratelog","PHCslog","SCslog","healthexp","hwdenslog","hwdens","noofSCs","noofPHCs","DR","hcexp","flr","docdens","phcareareawise","inc","oopexpraw","oop","expperkm2","govtexpperkm2","Population","Female.Population","Population.Density.km2.","flitrate","literacyrate","expperperson","perareaspend","expenditure","drdensity","scaspend","expperpersonscale","drdensityscale"
"11","Kerala",18,6.6,32836838,4575,824,224,79,18,394,99,91.98,31,114012.6998,1,38863,5399,7.19818484904612,1.88706964903238,6.71417052990947,8.42836197770962,17.3070615528945,5.97635090929793,1.56422103411213,0.257774339163645,0.325074494945935,0.400291415232222,0.432199146680279,2.24999039316992,1.04308695710516,-1.28501812409181,0.562865775674092,35343.936938,2.27018493486116,844.938321797082,3.61765948491463,33387677,17366387,859,15973602.7626,0.0743018372512444,0.983501727298967,844.938321797082,0.0850060148891167,5669.4,3.61765948491463,0.0850060148891167,1.60383548362816
"12","Madhya Pradesh",20,7.5,30589017,9192,1171,334,66,51,163,65.1,60.02,15,44989,0,308350,10363,29.7548972305317,2.01490302054226,7.06561336359772,9.12608881952859,17.2361515809262,5.09375020080676,-0.727320488187996,0.788497688349523,0.603030663538057,1.02761583824373,0.320424592042207,-0.844128060986366,0.0357714786146352,0.592081653854581,-1.20616921495291,6748.35,-0.983783893142323,99.2022604183558,-0.907540026672502,72597565,34984645,236,20997783.929,0.431733542527513,0.421350454385075,99.2022604183558,-0.652953247356595,1770,-0.907540026672502,-0.652953247356595,-0.430032003629965
"13","Maharashtra",21,5.8,67500434,10580,1811,360,86,23,292,114.8,75.48,20,136013.46,1,307713,12391,24.8335888951658,1.75785791755237,7.50163445788341,9.26672070541229,18.0276445854517,5.67675380226828,0.78636168716792,0.895468813731407,0.947879786000189,-0.233797116890583,2.15587198586723,0.652588813270712,1.39889926768037,0.252199768711491,1.12673173369963,27202.692,1.34377075400064,219.361658428471,-0.178401022474834,112372972,54011575,365,40767936.81,1.83822730216471,0.600682110641338,219.361658428471,-0.417537153638268,2117,-0.178401022474834,-0.417537153638268,-0.249042103112303
"14","Meghalaya",23,7.4,4173056,431,109,27,1,12,153,27.5,73.78,18,77066.87805,1,22429,540,41.5351851851852,2.00148000021012,4.69134788222914,6.06610809010375,15.2441591790859,5.03043792139244,-0.891701408975404,-1.53906536903671,-1.27477611799716,0.961744240041527,-0.993128522779515,0.488008044432611,-2.03496398150106,1.35055640205501,-0.384032921767482,13872.038049,-0.173160250335983,186.056266440769,-0.380501405386887,2964007,1471339,132,1085553.9142,-0.984867908399668,1.40791030520508,186.056266440769,0.642144735609086,976.8,-0.380501405386887,0.642144735609086,-0.843753009654776
"15","Mizoram",24,4.2,2328353,370,57,9,3,8,588.2,46,89.4,18,76629.99879,1,21081,427,49.3700234192037,1.43508452528932,4.04305126783455,5.91350300563827,14.6606717086409,6.37706702611989,2.60462085649861,-1.65514386376563,-1.78751396829634,-1.81776247486619,-1.08485773799039,2.00021487340386,-0.798740965564741,1.83472567395736,-0.395229868611227,13793.3997822,-0.182108710439643,110.447938902329,-0.839300147419434,1091014,538675,52,481575.45,-1.02783631365004,2.13411835228512,110.447938902329,1.59546812111385,218.4,-0.839300147419434,1.59546812111385,-1.23932286715505
"16","Nagaland",25,3,2762403,396,131,21,0,11,272.7,35.6,76.69,18,77981.10975,0,16579,527,31.4592030360531,1.09861228866811,4.87519732320115,5.98141421125448,14.8316115110695,5.60837228985154,0.608819256538649,-1.60348745565336,-1.12936957869149,-3.46895299894207,-1.06327428208324,0.769731595796654,-1.41461305233181,0.705763273672807,-0.360601725359195,14036.599755,-0.154434330746779,166.620604379034,-0.498438907707121,1980602,954895,119,732308.9755,-1.00999855887544,1.39472897634154,166.620604379034,0.624841059192702,357,-0.498438907707121,0.624841059192702,-1.16703122389353
"17","Odisha",26,7.6,17753359,6688,1305,377,27,32,199.2,44.5,64.36,17,66522.26066,0,155707,7993,19.4804203678218,2.02814824729229,7.17395831975679,8.80807015476454,16.6920852954188,5.2943093451505,-0.206598487266044,0.546597963770788,0.688720699053115,1.09261493926463,-0.317837954858372,-0.423963039364392,-0.878404863282927,-0.14465242500131,-0.654284982722406,11308.7843122,-0.464839794312289,114.017732022324,-0.817638292884464,41947358,20745680,269,13351919.648,-0.112210677984531,0.423229491592772,114.017732022324,-0.650486557377692,2044.4,-0.817638292884464,-0.650486557377692,-0.286909154344529
"18","Punjab",28,6.2,17948913,2951,427,150,41,22,271.3,134.6,71.34,22,105156.4906,1,50362,3378,14.9088217880403,1.82454929205105,6.05678401322862,7.98989937494294,16.7030401139618,5.60322521966489,0.595455654020043,-0.0757406226893883,-0.194852559884323,0.0934814922321423,-0.308113888192168,0.251786235041456,1.78125074481075,-0.517807663065096,0.335886578608322,23134.427932,0.880832032369888,356.397938922203,0.653148558771748,27704236,13069417,550,9323722.0878,-0.39878583828347,0.647876122626157,356.397938922203,-0.355583619163097,3410,0.653148558771748,-0.355583619163097,0.425366949825267
"19","Rajasthan",29,6.3,38028986,14408,2080,571,19,34,143.7,55.1,52.66,16,72802.63435,1,342239,16488,20.7568534691897,1.84054963339749,7.64012317269536,9.57553888685579,17.4538592163883,4.96772779308498,-1.05451893393634,1.13037022460147,1.05741052292944,0.172000933474971,0.690382529749908,-1.55666597783838,-0.364984136705748,-0.046771463376493,-0.493322866173806,11648.421496,-0.426191564733638,111.118212711,-0.835232860253489,68621012,33000926,201,17378287.6316,0.174234322062933,0.554188649972111,111.118212711,-0.478571045382152,1266.3,-0.835232860253489,-0.478571045382152,-0.692754230980819
"20","Sikkim",30,5,2380446,147,24,2,0,4,465.6,47.7,76.43,18,210810.5467,0,7096,171,41.4970760233918,1.6094379124341,3.17805383034795,4.99043258677874,14.6827984230494,6.14332689641723,1.99774936014876,-2.35727397381613,-2.47164051895766,-0.96214757009744,-1.08226737520137,0.744560419386121,-0.711537029715107,1.34817914490533,3.04373508113917,37945.898406,2.56626913578683,335.463077790304,0.526113769554144,607688,286027,86,218610.4361,-1.04654424440199,3.91721738787009,335.463077790304,3.93621608738748,430,0.526113769554144,3.93621608738748,-1.12895553877022
"21","Tamil Nadu",31,6.7,48493566,8712,1368,385,246,31,222.7,71.8,73.86,20,124132.7651,1,130058,10080,12.9025793650794,1.90210752639692,7.2211050981825,9.0724566646128,17.6969416873138,5.40582557426332,0.0829368223749728,0.747702587494922,0.726009090326145,0.47408769885992,1.21074147691451,0.495753021789698,0.271166652083431,-0.696141180886811,0.822236827573721,24826.55302,1.07338350198556,372.861077365483,0.75304849643198,72138958,35980087,555,26574892.2582,0.828501747055615,0.672224375627937,372.861077365483,-0.323620658857005,3718.5,0.75304849643198,-0.323620658857005,0.58627583832584
"22","Tripura",33,5.2,3757466,1033,94,20,11,6,180.6,54,83.15,18,73813.16159,1,10486,1127,9.30434782608696,1.64865862558738,4.54329478227,6.94022246911964,15.1392553519988,5.19628464098288,-0.46110505818788,-0.874173490155525,-1.39187132799462,-0.769677396164186,-1.01379404159175,1.39513851738144,-0.413441719775445,-1.0492698619188,-0.467423674277086,13286.3690862,-0.239805098459308,358.331680335686,0.664882691198774,3671032,1799165,350,1496005.6975,-0.955667432545067,1.02354487784361,358.331680335686,0.137572317337832,1820,0.664882691198774,0.137572317337832,-0.403952767244135
"23","Uttar Pradesh",34,7.2,67891207,20521,3497,773,0,160,134.6,76.7,59.26,23,42249.82591,0,243290,24018,10.1294862186693,1.97408102602201,8.15966073706338,9.92920403104076,18.0334170848795,4.90230741721063,-1.224373213769,1.39938431229634,1.46831282904821,0.827287599567666,2.17530346107793,-0.917705345878693,0.429804355836572,-0.963620400633239,-1.27637256285616,9717.4599593,-0.645920876886549,279.054654938551,0.183821930982962,199812341,94985062,828,56288147.7412,2.94237049996288,0.339774844037286,279.054654938551,-0.760040930210102,5961.6,0.183821930982962,-0.760040930210102,1.75624254106696
