"","ID","States_UTs","Deathrate","medicalandpublichealthexp","SCs","PHCs","CHCs","SubDivHosps","DistHosps","hwdensity","docdensity","fliteracyrate","oopexp","pcinc","socialstrata","area","phc","phcareawise","Deathratelog","PHCslog","SCslog","healthexp","noofSCs","noofPHCs","DR","hcexp","flr","docdens","phcareareawise","inc","oopexpraw","oop","expperkm2","govtexpperkm2","hwdenslog","hwdens"
"21",21,"Maharashtra",5.8,67500434,10580,1811,360,86,23,292,114.8,75.48,20,136013.46,1,307713,12391,24.8335888951658,1.75785791755237,7.50163445788341,9.26672070541229,18.0276445854517,0.848791479300863,0.91181846709895,-0.199028319531914,2.06584427038718,0.595011755227089,1.35151192807946,0.2240205543697,1.06243018887736,27202.692,1.29652932669773,219.361658428471,-0.188559843560236,5.67675380226828,0.758746427991189
"23",23,"Meghalaya",7.4,4173056,431,109,27,1,12,153,27.5,73.78,18,77066.87805,1,22429,540,41.5351851851852,2.00148000021012,4.69134788222914,6.06610809010375,15.2441591790859,-1.57588190417734,-1.28131337257709,0.96170827475202,-1.04059038409496,0.434389288552051,-2.26203225326826,1.30787714437061,-0.420360849189424,13872.038049,-0.233637802530152,186.056266440769,-0.382558815038627,5.03043792139244,-0.893956590942943
"24",24,"Mizoram",4.2,2328353,370,57,9,3,8,588.2,46,89.4,18,76629.99879,1,21081,427,49.3700234192037,1.43508452528932,4.04305126783455,5.91350300563827,14.6606717086409,-1.69149023638134,-1.78724040468126,-1.73688106249206,-1.13107967178388,1.91022630588387,-0.961122414430122,1.78565461672933,-0.431350471149094,13793.3997822,-0.242664343268447,110.447938902329,-0.822966115546445,6.37706702611989,2.54952677782664
"25",25,"Nagaland",3,2762403,396,131,21,0,11,272.7,35.6,76.69,18,77981.10975,0,16579,527,31.4592030360531,1.09861228866811,4.87519732320115,5.98141421125448,14.8316115110695,-1.64004305657896,-1.13783830274067,-3.34000190337032,-1.10978796503143,0.709337157978145,-1.60922073230056,0.671596304278683,-0.397363509451787,14036.599755,-0.214748488159196,166.620604379034,-0.495768665604878,5.60837228985154,0.583887144234652
"26",26,"Odisha",7.6,17753359,6688,1305,377,27,32,199.2,44.5,64.36,17,66522.26066,0,155707,7993,19.4804203678218,2.02814824729229,7.17395831975679,8.80807015476454,16.6920852954188,0.501333690390654,0.656101851628778,1.08876904837309,-0.374427893401476,-0.455648144435513,-1.04495481926793,-0.167592563222688,-0.685608869490204,11308.7843122,-0.527862423943243,114.017732022324,-0.802172599772022,5.2943093451505,-0.219207429488917
"28",28,"Punjab",6.2,17948913,2951,427,150,41,22,271.3,134.6,71.34,22,105156.4906,1,50362,3378,14.9088217880403,1.82454929205105,6.05678401322862,7.98989937494294,16.7030401139618,-0.118484185563634,-0.215734694629679,0.118722510192555,-0.364835269458912,0.203848806971408,1.75387039583252,-0.535821562429995,0.286228479217062,23134.427932,0.829551189484476,356.397938922203,0.60965617746197,5.60322521966489,0.570725501935803
"29",29,"Rajasthan",6.3,38028986,14408,2080,571,19,34,143.7,55.1,52.66,16,72802.63435,1,342239,16488,20.7568534691897,1.84054963339749,7.64012317269536,9.57553888685579,17.4538592163883,1.08274144915937,1.01989428133124,0.19495608277858,0.620164214204082,-1.56110865037548,-0.504668749475092,-0.0710037849770126,-0.527627159352345,11648.421496,-0.488876965583543,111.118212711,-0.819061869965456,4.96772779308498,-1.05431350222761
"30",30,"Sikkim",5,2380446,147,24,2,0,4,465.6,47.7,76.43,18,210810.5467,0,7096,171,41.4970760233918,1.6094379124341,3.17805383034795,4.99043258677874,14.6827984230494,-2.39077644958307,-2.46227954048484,-0.906174935245766,-1.12852432359852,0.684771368957258,-0.869355430099811,1.30553127077219,2.94393792288542,37945.898406,2.52969473369102,335.463077790304,0.48771371453792,6.14332689641723,1.95182675306141
"31",31,"Tamil Nadu",6.7,48493566,8712,1368,385,246,31,222.7,71.8,73.86,20,124132.7651,1,130058,10080,12.9025793650794,1.90210752639692,7.2211050981825,9.0724566646128,17.6969416873138,0.701623763082869,0.692894932376952,0.488248457147764,1.13348933492202,0.44194799286617,0.164769377345155,-0.71180079598797,0.763573370704791,24826.55302,1.02378278515239,372.861077365483,0.705551518567157,5.40582557426332,0.0659522176253693
"33",33,"Tripura",5.2,3757466,1033,94,20,11,6,180.6,54,83.15,18,73813.16159,1,10486,1127,9.30434782608696,1.64865862558738,4.54329478227,6.94022246911964,15.1392553519988,-0.913683092994099,-1.39685317919184,-0.719307979203517,-1.06097656174559,1.31970253134329,-0.555661932556981,-1.06026762036517,-0.502207522019253,13286.3690862,-0.30086416657648,358.331680335686,0.620919934557497,5.19628464098288,-0.469867716976205
"34",34,"Uttar Pradesh",7.2,67891207,20521,3497,773,0,160,134.6,76.7,59.26,23,42249.82591,0,243290,24018,10.1294862186693,1.97408102602201,8.15966073706338,9.92920403104076,18.0334170848795,1.35066592638844,1.42533847488575,0.831165954289783,2.08501308532274,-0.937515544460626,0.33170798547877,-0.975748867324282,-1.29617775285462,9717.4599593,-0.710523546623181,279.054654938551,0.159143012832949,4.90230741721063,-1.22160082396389
"35",35,"Uttarakhand",6.4,9450405,1848,257,59,17,19,216.3,97.8,70.7,10,129021.2892,0,53483,2105,25.4076009501188,1.85629799036563,5.54907608489522,7.52185925220163,16.0615681556944,-0.473055189434193,-0.611947106748084,0.269989076640822,-0.781717518438077,0.143379172458453,0.9462429790687,0.264165681980907,0.88654334597837,12902.12892,-0.344969405089869,176.699231531515,-0.437062156394073,5.37666633295901,-0.00861126991907112
"36",36,"West Bengal",5.9,42898915,10369,909,349,37,22,243.7,101.4,71.16,21,77280.68986,1,88752,11278,7.86948040432701,1.77495235091167,6.81234509417748,9.24657586455828,17.5743570922031,0.833530444835303,0.373900923959572,-0.11758194922663,0.859051669965595,0.186841722264639,1.03765218270682,-1.21573892162648,-0.414982450218475,16228.9448706,0.0369011641493297,483.357163782225,1.34917484313726,5.49593796063116,0.296379811005353
